V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[032,07/09/2022 04:10 AM, 07/09/2022 04:10 AM, Tree Trimming is clearing debris from the area, , 1217592];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[1]=[045,07/09/2022 07:47 AM, 07/09/2022 07:47 AM, A crew is currently working on the problem, 07/09/2022 05:00 PM, 1217744];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[2]=[046,07/09/2022 12:22 PM, 07/09/2022 12:22 PM, Trouble Shooter is determining repairs required, , 1217784];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[3]=[056,07/08/2022 09:55 PM, 07/08/2022 09:55 PM, A crew is currently working on the problem, 07/09/2022 05:30 PM, 1217567];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[4]=[071,07/09/2022 01:51 PM, 07/09/2022 01:51 PM, Waiting for an available crew to perform repairs, , 1217790];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[5]=[073,07/09/2022 06:06 AM, 07/09/2022 06:06 AM, Tree Trimming is clearing debris from the area, , 1217717];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[6]=[074,07/09/2022 06:06 AM, 07/09/2022 06:06 AM, Tree Trimming is clearing debris from the area, , 1217717];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[7]=[083,07/09/2022 01:54 AM, 07/09/2022 01:54 AM, Waiting for an available crew to perform repairs, , 1217576];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[8]=[084,07/09/2022 01:59 PM, 07/09/2022 01:59 PM, Trouble Shooter is determining repairs required, , 1217791];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[9]=[087,07/09/2022 04:28 AM, 07/09/2022 04:28 AM, Tree Trimming is clearing debris from the area, , 1217605];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[10]=[087,07/09/2022 05:05 AM, 07/09/2022 05:05 AM, Waiting for an available crew to perform repairs, , 1217690];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[11]=[088,07/09/2022 04:30 AM, 07/09/2022 04:30 AM, A crew is currently working on the problem, 07/09/2022 04:30 PM, 1217609];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[12]=[096,07/09/2022 01:14 PM, 07/09/2022 01:14 PM, Trouble Shooter is determining repairs required, , 1217788];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[13]=[098,07/09/2022 02:27 PM, 07/09/2022 02:27 PM, The extent of the outage has been determined, , 1217794];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[14]=[100,07/09/2022 07:21 AM, 07/09/2022 07:21 AM, Trouble Shooter is determining repairs required, , 1217734];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[15]=[101,07/09/2022 04:56 AM, 07/09/2022 04:56 AM, Trouble Shooter is determining repairs required, , 1217668];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[16]=[101,07/09/2022 05:52 AM, 07/09/2022 05:52 AM, Tree Trimming is clearing debris from the area, , 1217714];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[17]=[101,07/09/2022 10:56 AM, 07/09/2022 10:56 AM, Trouble Shooter is determining repairs required, , 1217774];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[18]=[106,07/08/2022 09:15 PM, 07/08/2022 09:15 PM, A crew is currently working on the problem, 07/09/2022 05:30 PM, 1217564];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[19]=[106,07/09/2022 12:00 PM, 07/09/2022 12:00 PM, A crew is currently working on the problem, 07/09/2022 05:30 PM, 1217780];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[20]=[112,07/09/2022 06:13 AM, 07/09/2022 06:13 AM, Trouble Shooter is determining repairs required, , 1217718];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[21]=[113,07/09/2022 07:30 AM, 07/09/2022 07:30 AM, Trouble Shooter is determining repairs required, , 1217739];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
events[22]=[113,07/09/2022 10:37 AM, 07/09/2022 10:37 AM, Trouble Shooter is determining repairs required, , 1217772];,# of Outages: 29,Customers Affected: 398,2022-07-09T19:39:36Z
